level,rep,group,diet_no,ratio,yeast,sugar,CFU_AP,CFU_LB,Fecundity,Weight,Protein,Glucose,TAG,Average_counts_L,Average_counts_D,sleep_time_L,sleep_time_D
90,2,AP+LB,7,00:01,0,90,1000,800,0,1.431,0.660441483,0.010543614,0.121832647,64.2371134,46.45833333,61.84333333,91.18148148
90,2,AX,7,00:01,0,90,0,0,0,1.048,0.338,0.038411935,0.190930614,65.26804124,39.01041667,56.61,142.5847222
90,2,CV,7,00:01,0,90,4000,300,0,1.292333333,0.516,0.012776437,0.078777419,41.91752577,28.63541667,48.065,61.36904762
90,2,LB,7,00:01,0,90,0,5866.666667,2,1.134,0.64,0.02509922,0.2,66.64948454,54.98958333,50.05555556,53.70079365
90,3,AP,7,00:01,0,90,800,0,0,1.1754,1.06412625,0.021426389,0.211,72.4742268,19.58333333,50.60111111,75.50714286
90,3,AP+LB,7,00:01,0,90,1600,12000,5,1.414,0.732028456,0.017324211,0.130700929,90.44329897,64.29166667,57.73333333,63.47083333
90,3,AX,7,00:01,0,90,0,0,0,1.1858,1.076455807,0.020582227,0.13,87.75257732,70.20833333,46.47,48.80769231
90,3,CV,7,00:01,0,90,358400,4000,6,1.1744,0.548833245,0.019214749,0.12788819,115.8969072,56.78125,0,47.8375
90,3,LB,7,00:01,0,90,0,6066.666667,4,1.1986,0.501100613,0.028882479,0.145,92.78350515,30.03125,55.31666667,72.77954545
90,4,AP,7,00:01,0,90,14000,0,0,1.2334,1.261566886,0.014631545,0.130587963,62.88659794,51.86458333,39.95555556,49.02708333
90,4,AP+LB,7,00:01,0,90,1750,1850,9,1.228,0.672735989,0.015899327,0.097318915,50.73195876,41.09375,58.86568627,61.35833333
90,4,AX,7,00:01,0,90,0,0,2,1.235,0.474042946,0.018405481,0.173706757,83.71134021,53,66.26666667,55.44642857
90,4,CV,7,00:01,0,90,4800,150,13,1.634666667,0.396860223,0.009670285,0.085910992,59.96907216,48.92708333,43.9,56.11190476
